排名,球员,球队,出场次数,场均时间,投篮命中率,三分命中率,三分球总数,罚球命中率,总得分,场均得分,总篮板,场均篮板
1,吴骁,广厦,6,5.2,66.7%,-,0,-,8,1.3,9,1.5
2,赵晏满,北京,3,6.8,66.7%,-,0,100%,10,3.3,5,1.7
3,买尔丹-吐尔逊,同曦,45,14.1,66.7%,-,0,51.5%,81,1.8,117,2.6
4,苏伟,广东,27,11.9,64.8%,-,0,56.4%,114,4.2,89,3.3
5,曾繁日,广东,45,10.1,64.4%,-,0,65.2%,146,3.2,127,2.8
6,胡金秋,广厦,47,34.3,63%,35.3%,12,77.4%,913,19.4,474,10.1
7,姜宇星,吉林,46,34.4,62.4%,44.2%,23,74%,649,14.1,199,4.3
8,达卡里-约翰逊,青岛,29,31.3,62.2%,-,0,69.2%,687,23.7,421,14.5
9,伊莱-霍尔曼,吉林,30,27.1,62%,-,0,84.7%,459,15.3,300,10
10,韩德君,辽宁,50,33,61.9%,57.1%,4,77.8%,914,18.3,574,11.5
11,赵戌宏,青岛,32,11.4,61.5%,-,0,61.5%,120,3.8,109,3.4
12,尤度,北京,32,31.6,60.7%,14.3%,1,70.3%,609,19,359,11.2
13,鲍勒斯,吉林,2,35.1,60.7%,33.3%,1,62.5%,45,22.5,16,8
14,埃里克-莫兰德,山西,25,28.6,60.3%,-,0,46.5%,363,14.5,370,14.8
15,刘泽一,浙江,42,17.4,60.1%,-,0,60%,304,7.2,166,4
16,李炎哲,广州,23,10.4,60%,-,0,52%,85,3.7,61,2.7
17,吴冠希,江苏,42,30.4,59.7%,-,0,69.7%,641,15.3,339,8.1
18,范子铭,新疆,49,21.1,59.7%,-,0,68.4%,485,9.9,278,5.7
19,王潼,上海,32,17.7,59.6%,25%,3,46.3%,196,6.1,122,3.8
20,鲁吐布拉,新疆,27,6.9,59%,-,0,59%,95,3.5,42,1.6
排名,球员,球队,出场次数,场均时间,投篮命中率,三分命中率,三分球总数,罚球命中率,总得分,场均得分,总篮板,场均篮板
21,贾内尔-斯托克斯,新疆,19,30.9,58.6%,33.3%,11,77.6%,435,22.9,216,11.4
22,陶汉林,山东,46,31.2,58.5%,-,0,65.5%,710,15.4,369,8
23,沈梓捷,深圳,42,29.9,58.5%,-,0,59.8%,593,14.1,326,7.8
24,热甫卡提江-吐送江,新疆,20,12.9,58.3%,-,0,70.4%,131,6.6,73,3.7
25,布兰登-巴斯,辽宁,30,31.7,58.3%,33.3%,1,78%,641,21.4,250,8.3
26,刘传兴,青岛,44,18.1,58.1%,-,0,70.2%,349,7.9,292,6.6
27,孙喆,福建,28,8.5,58.1%,-,0,68.2%,65,2.3,58,2.1
28,詹姆斯-梅斯,山东,29,28.2,57.1%,23.8%,5,70.8%,463,16,290,10
29,缪光旸,八一,12,8.2,56.7%,-,0,53.8%,41,3.4,9,0.8
30,摩尔特里,北控,23,30.8,56.7%,-,0,72%,433,18.8,259,11.3
